,demo_url,X,team_1,score,team_2,league,type,date
208,https://www.hltv.org/download/demo/56457,208,Buffdaddy's Paypal,2 - 0,Serac,ESEA Advanced Season 33 North America,bo3,25th of March 2020
209,https://www.hltv.org/download/demo/56456,209,ETHEREAL,2 - 0,timbermen,ESEA Advanced Season 33 North America,bo3,25th of March 2020
210,https://www.hltv.org/download/demo/56452,210,Chaos,1 - 2,MIBR,Flashpoint 1,bo3,25th of March 2020
211,https://www.hltv.org/download/demo/56451,211,Astralis,2 - 1,Vitality,ESL Pro League Season 11 Europe,bo3,24th of March 2020
212,https://www.hltv.org/download/demo/56450,212,NiP,1 - 2,ENCE,ESL Pro League Season 11 Europe,bo3,24th of March 2020
213,https://www.hltv.org/download/demo/56449,213,GODSENT,2 - 0,Spirit,ESL Pro League Season 11 Europe,bo3,24th of March 2020
214,https://www.hltv.org/download/demo/56446,214,Cloud9,2 - 1,Orgless,Flashpoint 1,bo3,24th of March 2020
215,https://www.hltv.org/download/demo/56455,215,Salamander,2 - 1,Unique,ESEA Advanced Season 33 Europe,bo3,24th of March 2020
216,https://www.hltv.org/download/demo/56454,216,FATE,0 - 2,Ambush,ESEA Advanced Season 33 Europe,bo3,24th of March 2020
217,https://www.hltv.org/download/demo/56448,217,BIG,1 - 2,forZe,ESL Pro League Season 11 Europe,bo3,24th of March 2020
218,https://www.hltv.org/download/demo/56447,218,Natus Vincere,2 - 0,fnatic,ESL Pro League Season 11 Europe,bo3,24th of March 2020
219,https://www.hltv.org/download/demo/56443,219,North,0 - 2,Complexity,ESL Pro League Season 11 Europe,bo3,24th of March 2020
220,https://www.hltv.org/download/demo/56442,220,HAVU,0 - 2,MAD Lions,Flashpoint 1,bo3,24th of March 2020
221,https://www.hltv.org/download/demo/56445,221,SKADE,2 - 0,Tricked,ESEA Advanced Season 33 Europe,bo3,24th of March 2020
222,https://www.hltv.org/download/demo/56444,222,HellRaisers,1 - 2,Pompa,SECTOR: MOSTBET Season 2,bo3,24th of March 2020
223,https://www.hltv.org/download/demo/56441,223,Apeks,1 - 2,Turkey5,ESEA Advanced Season 33 Europe,bo3,24th of March 2020
224,https://www.hltv.org/download/demo/56440,224,Lucid Dream,2 - 1,TIGER,ESEA Open Season 33 Asia-Pacific,bo3,24th of March 2020
225,https://www.hltv.org/download/demo/56439,225,Rooster,2 - 1,Eimi Fukada FC,ESL Australia & NZ Championship Season 10,bo3,24th of March 2020
226,https://www.hltv.org/download/demo/56438,226,Chiefs,2 - 1,Paradox,ESL Australia & NZ Championship Season 10,bo3,24th of March 2020
227,https://www.hltv.org/download/demo/56437,227,Thunder Logic,1 - 2,AA,eFire Master League North America,bo3,24th of March 2020
228,https://www.hltv.org/download/demo/56436,228,Natus Vincere,2 - 1,Complexity,ESL Pro League Season 11 Europe,bo3,23rd of March 2020
229,https://www.hltv.org/download/demo/56435,229,Dignitas,1 - 2,Orgless,Flashpoint 1,bo3,23rd of March 2020
230,https://www.hltv.org/download/demo/56434,230,MIBR,2 - 0,Gen.G,Flashpoint 1,bo3,23rd of March 2020
231,https://www.hltv.org/download/demo/56433,231,FATE,1 - 2,Prima,ESEA Advanced Season 33 Europe,bo3,23rd of March 2020
232,https://www.hltv.org/download/demo/56432,232,North,2 - 0,BIG,ESL Pro League Season 11 Europe,bo3,23rd of March 2020
233,https://www.hltv.org/download/demo/56430,233,SKADE,2 - 0,Pompa,SECTOR: MOSTBET Season 2,bo3,23rd of March 2020
234,https://www.hltv.org/download/demo/56429,234,MAD Lions,2 - 0,c0ntact,Flashpoint 1,bo3,23rd of March 2020
235,https://www.hltv.org/download/demo/56428,235,HellRaisers,2 - 1,Cyber Legacy,SECTOR: MOSTBET Season 2,bo3,23rd of March 2020
236,https://www.hltv.org/download/demo/56425,236,Juggernauts,1 - 2,Unique,ESEA Advanced Season 33 Europe,bo3,23rd of March 2020
237,https://www.hltv.org/download/demo/56431,237,fnatic,2 - 1,forZe,ESL Pro League Season 11 Europe,bo3,23rd of March 2020
238,https://www.hltv.org/download/demo/56427,238,Ground Zero,2 - 0,Chiefs,ESL Australia & NZ Championship Season 10,bo3,23rd of March 2020
239,https://www.hltv.org/download/demo/56426,239,Airborne,2 - 0,Rooster,ESL Australia & NZ Championship Season 10,bo3,23rd of March 2020
240,https://www.hltv.org/download/demo/56424,240,Station7,0 - 2,Yeah,eFire Master League North America,bo3,23rd of March 2020
241,https://www.hltv.org/download/demo/56423,241,Vitality,2 - 0,NiP,ESL Pro League Season 11 Europe,bo3,22nd of March 2020
242,https://www.hltv.org/download/demo/56422,242,SKADE,1 - 2,Endpoint,ESEA Advanced Season 33 Europe,bo3,22nd of March 2020
243,https://www.hltv.org/download/demo/56417,243,HAVU,2 - 1,c0ntact,Flashpoint 1,bo3,22nd of March 2020
244,https://www.hltv.org/download/demo/56421,244,Chetz,1 - 2,Ambush,ESEA Advanced Season 33 Europe,bo3,22nd of March 2020
245,https://www.hltv.org/download/demo/56420,245,SJ,1 - 2,Tricked,ESEA Advanced Season 33 Europe,bo3,22nd of March 2020
246,https://www.hltv.org/download/demo/56419,246,ALTERNATE aTTaX,2 - 1,Salamander,ESEA Advanced Season 33 Europe,bo3,22nd of March 2020
247,https://www.hltv.org/download/demo/56418,247,Vexed,2 - 0,Apeks,ESEA Advanced Season 33 Europe,bo3,22nd of March 2020
248,https://www.hltv.org/download/demo/56416,248,Astralis,2 - 0,Spirit,ESL Pro League Season 11 Europe,bo3,22nd of March 2020
249,https://www.hltv.org/download/demo/56412,249,Turkey5,2 - 0,Defusekids,ESEA Advanced Season 33 Europe,bo3,22nd of March 2020
250,https://www.hltv.orgNA,250,Orgless,1 - 0,FunPlus Phoenix,Flashpoint 1,bo3,22nd of March 2020
251,https://www.hltv.org/download/demo/56415,251,ENCE,1 - 2,GODSENT,ESL Pro League Season 11 Europe,bo3,22nd of March 2020
252,https://www.hltv.org/download/demo/56414,252,ORDER,3 - 1,AVANT,ESEA MDL Season 33 Australia,bo5,22nd of March 2020
253,https://www.hltv.org/download/demo/56413,253,AVANT,2 - 0,Rooster,ESEA MDL Season 33 Australia,bo3,22nd of March 2020
254,https://www.hltv.org/download/demo/56411,254,fnatic,2 - 1,North,ESL Pro League Season 11 Europe,bo3,21st of March 2020
255,https://www.hltv.org/download/demo/56410,255,Gen.G,0 - 2,Chaos,Flashpoint 1,bo3,21st of March 2020
256,https://www.hltv.org/download/demo/56409,256,Natus Vincere,2 - 1,forZe,ESL Pro League Season 11 Europe,bo3,21st of March 2020
257,https://www.hltv.org/download/demo/56408,257,MAD Lions,2 - 1,Copenhagen Flames,Flashpoint 1,bo3,21st of March 2020
258,https://www.hltv.org/download/demo/56407,258,BIG,1 - 2,Complexity,ESL Pro League Season 11 Europe,bo3,21st of March 2020
259,https://www.hltv.org/download/demo/56406,259,Rooster,2 - 0,Ground Zero,ESEA MDL Season 33 Australia,bo3,21st of March 2020
260,https://www.hltv.org/download/demo/56405,260,Chiefs,1 - 2,Ground Zero,ESEA MDL Season 33 Australia,bo3,21st of March 2020
261,https://www.hltv.org/download/demo/56404,261,AVANT,0 - 2,ORDER,ESEA MDL Season 33 Australia,bo3,21st of March 2020
262,https://www.hltv.org/download/demo/56403,262,Skyfire,0 - 2,Rooster,ESEA MDL Season 33 Australia,bo3,21st of March 2020
263,https://www.hltv.org/download/demo/56402,263,Yeah,5 - 16,Thunder Logic,eFire Master League North America,trn,21st of March 2020
264,https://www.hltv.org/download/demo/56401,264,Astralis,2 - 1,ENCE,ESL Pro League Season 11 Europe,bo3,20th of March 2020
265,https://www.hltv.org/download/demo/56391,265,Dignitas,0 - 2,Cloud9,Flashpoint 1,bo3,20th of March 2020
266,https://www.hltv.org/download/demo/56392,266,Prima,2 - 1,Defusekids,ESEA Advanced Season 33 Europe,bo3,20th of March 2020
267,https://www.hltv.org/download/demo/56390,267,Vitality,1 - 2,Spirit,ESL Pro League Season 11 Europe,bo3,20th of March 2020
268,https://www.hltv.org/download/demo/56389,268,Unique,0 - 2,Endpoint,ESEA Advanced Season 33 Europe,bo3,20th of March 2020
269,https://www.hltv.org/download/demo/56386,269,Envy,0 - 2,MIBR,Flashpoint 1,bo3,20th of March 2020
270,https://www.hltv.org/download/demo/56388,270,Ambush,0 - 2,Apeks,ESEA Advanced Season 33 Europe,bo3,20th of March 2020
271,https://www.hltv.org/download/demo/56387,271,NiP,2 - 0,GODSENT,ESL Pro League Season 11 Europe,bo3,20th of March 2020
272,https://www.hltv.org/download/demo/56400,272,ORDER,2 - 0,Rooster,ESEA MDL Season 33 Australia,bo3,20th of March 2020
273,https://www.hltv.org/download/demo/56399,273,Paradox,0 - 2,Ground Zero,ESEA MDL Season 33 Australia,bo3,20th of March 2020
274,https://www.hltv.org/download/demo/56398,274,AVANT,2 - 0,Chiefs,ESEA MDL Season 33 Australia,bo3,20th of March 2020
275,https://www.hltv.org/download/demo/56397,275,Skyfire,2 - 0,TRIDENT,ESEA MDL Season 33 Australia,bo3,20th of March 2020
276,https://www.hltv.org/download/demo/56396,276,Rooster,2 - 1,Ground Zero,ESEA MDL Season 33 Australia,bo3,20th of March 2020
277,https://www.hltv.org/download/demo/56395,277,AVANT,2 - 0,Skyfire,ESEA MDL Season 33 Australia,bo3,20th of March 2020
278,https://www.hltv.org/download/demo/56394,278,TRIDENT,0 - 2,Chiefs,ESEA MDL Season 33 Australia,bo3,20th of March 2020
279,https://www.hltv.org/download/demo/56393,279,Paradox,0 - 2,ORDER,ESEA MDL Season 33 Australia,bo3,20th of March 2020
280,https://www.hltv.org/download/demo/56385,280,TeamOne,2 - 0,Under 21,ESEA MDL Season 33 North America,bo3,20th of March 2020
281,https://www.hltv.orgNA,281,Rugratz,0 - 1,Thunder Logic,eFire Master League North America,-,20th of March 2020
282,https://www.hltv.org/download/demo/56384,282,Yeah,16 - 7,Big Frames,eFire Master League North America,nuke,20th of March 2020
283,https://www.hltv.org/download/demo/56377,283,fnatic,2 - 0,Complexity,ESL Pro League Season 11 Europe,bo3,19th of March 2020
284,https://www.hltv.org/download/demo/56383,284,Nordavind,1 - 2,Japaleno,ESEA MDL Season 33 Europe,bo3,19th of March 2020
285,https://www.hltv.org/download/demo/56382,285,ALTERNATE aTTaX,2 - 0,SJ,ESEA Advanced Season 33 Europe,bo3,19th of March 2020
286,https://www.hltv.org/download/demo/56381,286,SKADE,2 - 0,Juggernauts,ESEA Advanced Season 33 Europe,bo3,19th of March 2020
287,https://www.hltv.org/download/demo/56380,287,Tricked,1 - 2,Salamander,ESEA Advanced Season 33 Europe,bo3,19th of March 2020
288,https://www.hltv.org/download/demo/56379,288,Vexed,2 - 0,Chetz,ESEA Advanced Season 33 Europe,bo3,19th of March 2020
289,https://www.hltv.org/download/demo/56375,289,Natus Vincere,0 - 2,BIG,ESL Pro League Season 11 Europe,bo3,19th of March 2020
290,https://www.hltv.org/download/demo/56376,290,Cyber Legacy,0 - 2,Pompa,SECTOR: MOSTBET Season 2,bo3,19th of March 2020
291,https://www.hltv.org/download/demo/56378,291,FATE,2 - 0,Turkey5,ESEA Advanced Season 33 Europe,bo3,19th of March 2020
292,https://www.hltv.org/download/demo/56371,292,SKADE,2 - 1,HellRaisers,SECTOR: MOSTBET Season 2,bo3,19th of March 2020
293,https://www.hltv.org/download/demo/56370,293,forZe,2 - 0,North,ESL Pro League Season 11 Europe,bo3,19th of March 2020
294,https://www.hltv.org/download/demo/56374,294,Eimi Fukada FC,2 - 1,i sleep,ESL Australia & NZ Championship Season 10,bo3,19th of March 2020
295,https://www.hltv.org/download/demo/56372,295,Shidiots,2 - 0,MARKandLARRY,LPL Pro League Season 4,bo3,19th of March 2020
296,https://www.hltv.org/download/demo/56373,296,Paradox,2 - 0,Skyfire,ESL Australia & NZ Championship Season 10,bo3,19th of March 2020
297,https://www.hltv.org/download/demo/56369,297,Rugratz,0 - 2,Under 21,ESEA MDL Season 33 North America,bo3,19th of March 2020
298,https://www.hltv.org/download/demo/56368,298,Chaos,1 - 2,TeamOne,ESEA MDL Season 33 North America,bo3,19th of March 2020
299,https://www.hltv.org/download/demo/56367,299,Triumph,2 - 1,Under 21,ESEA MDL Season 33 North America,bo3,19th of March 2020
300,https://www.hltv.org/download/demo/56363,300,New England Whalers,0 - 2,AA,eFire Master League North America,bo3,19th of March 2020
301,https://www.hltv.org/download/demo/56366,301,Bad News Bears,2 - 0,TeamOne,ESEA MDL Season 33 North America,bo3,19th of March 2020
302,https://www.hltv.org/download/demo/56365,302,Chaos,2 - 0,Mythic,ESEA MDL Season 33 North America,bo3,19th of March 2020
303,https://www.hltv.org/download/demo/56364,303,Rugratz,2 - 0,Recon 5,ESEA MDL Season 33 North America,bo3,19th of March 2020
304,https://www.hltv.org/download/demo/56362,304,Japaleno,2 - 1,HellRaisers,ESEA MDL Season 33 Europe,bo3,18th of March 2020
305,https://www.hltv.org/download/demo/56356,305,Vitality,2 - 1,ENCE,ESL Pro League Season 11 Europe,bo3,18th of March 2020
306,https://www.hltv.orgNA,306,Airborne,1 - 0,Corvidae,LPL Pro League Season 4,bo3,19th of March 2020
307,https://www.hltv.org/download/demo/56361,307,Movistar Riders,0 - 2,Nordavind,ESEA MDL Season 33 Europe,bo3,18th of March 2020
308,https://www.hltv.org/download/demo/56360,308,AGO,2 - 1,Nordavind,ESEA MDL Season 33 Europe,bo3,18th of March 2020
309,https://www.hltv.org/download/demo/56359,309,HellRaisers,2 - 1,GamerLegion,ESEA MDL Season 33 Europe,bo3,18th of March 2020
310,https://www.hltv.org/download/demo/56358,310,Sprout,2 - 0,Japaleno,ESEA MDL Season 33 Europe,bo3,18th of March 2020
311,https://www.hltv.org/download/demo/56354,311,Tricked,2 - 0,Endpoint,SECTOR: MOSTBET Season 2,bo3,18th of March 2020
312,https://www.hltv.org/download/demo/56357,312,Movistar Riders,2 - 0,pro100,ESEA MDL Season 33 Europe,bo3,18th of March 2020
313,https://www.hltv.org/download/demo/56355,313,Astralis,2 - 0,GODSENT,ESL Pro League Season 11 Europe,bo3,18th of March 2020
314,https://www.hltv.org/download/demo/56351,314,NiP,2 - 0,Spirit,ESL Pro League Season 11 Europe,bo3,18th of March 2020
315,https://www.hltv.org/download/demo/56353,315,Chiefs,2 - 0,i sleep,ESL Australia & NZ Championship Season 10,bo3,18th of March 2020
316,https://www.hltv.org/download/demo/56352,316,Ground Zero,2 - 0,Eimi Fukada FC,ESL Australia & NZ Championship Season 10,bo3,18th of March 2020
317,https://www.hltv.org/download/demo/56346,317,District 7,1 - 2,AA,eFire Master League North America,bo3,18th of March 2020
318,https://www.hltv.org/download/demo/56350,318,Under 21,2 - 1,Mythic,ESEA MDL Season 33 North America,bo3,18th of March 2020
319,https://www.hltv.org/download/demo/56349,319,Chaos,0 - 2,Triumph,ESEA MDL Season 33 North America,bo3,18th of March 2020
320,https://www.hltv.org/download/demo/56348,320,Recon 5,0 - 2,TeamOne,ESEA MDL Season 33 North America,bo3,18th of March 2020
321,https://www.hltv.org/download/demo/56347,321,Rugratz,0 - 2,Bad News Bears,ESEA MDL Season 33 North America,bo3,18th of March 2020
322,https://www.hltv.org/download/demo/56345,322,New England Whalers,12 - 16,Station7,eFire Master League North America,Inf,18th of March 2020
323,https://www.hltv.org/download/demo/56344,323,fnatic,1 - 2,BIG,ESL Pro League Season 11 Europe,bo3,17th of March 2020
324,https://www.hltv.org/download/demo/56343,324,pro100,0 - 2,Japaleno,ESEA MDL Season 33 Europe,bo3,17th of March 2020
325,https://www.hltv.org/download/demo/56342,325,GamerLegion,1 - 2,Nordavind,ESEA MDL Season 33 Europe,bo3,17th of March 2020
326,https://www.hltv.org/download/demo/56341,326,Sprout,2 - 0,Movistar Riders,ESEA MDL Season 33 Europe,bo3,17th of March 2020
327,https://www.hltv.org/download/demo/56340,327,AGO,2 - 0,HellRaisers,ESEA MDL Season 33 Europe,bo3,17th of March 2020
328,https://www.hltv.org/download/demo/56339,328,Natus Vincere,0 - 2,North,ESL Pro League Season 11 Europe,bo3,17th of March 2020
329,https://www.hltv.org/download/demo/56338,329,Singularity,0 - 2,Endpoint,SECTOR: MOSTBET Season 2,bo3,17th of March 2020
330,https://www.hltv.org/download/demo/56337,330,forZe,2 - 1,Complexity,ESL Pro League Season 11 Europe,bo3,17th of March 2020
331,https://www.hltv.org/download/demo/56336,331,Espada,2 - 0,Tricked,SECTOR: MOSTBET Season 2,bo3,17th of March 2020
332,https://www.hltv.org/download/demo/56335,332,Rooster,2 - 0,Skyfire,ESL Australia & NZ Championship Season 10,bo3,17th of March 2020
333,https://www.hltv.org/download/demo/56334,333,Paradox,1 - 2,Airborne,ESL Australia & NZ Championship Season 10,bo3,17th of March 2020
334,https://www.hltv.org/download/demo/56333,334,AA,5 - 16,Station7,eFire Master League North America,mrg,17th of March 2020
335,https://www.hltv.org/download/demo/56332,335,New England Whalers,16 - 7,District 7,eFire Master League North America,nuke,17th of March 2020
336,https://www.hltv.org/download/demo/56329,336,Astralis,0 - 2,NiP,ESL Pro League Season 11 Europe,bo3,16th of March 2020
337,https://www.hltv.org/download/demo/56328,337,Vitality,2 - 0,GODSENT,ESL Pro League Season 11 Europe,bo3,16th of March 2020
338,https://www.hltv.org/download/demo/56327,338,Singularity,1 - 2,Espada,SECTOR: MOSTBET Season 2,bo3,16th of March 2020
339,https://www.hltv.org/download/demo/56326,339,ENCE,0 - 2,Spirit,ESL Pro League Season 11 Europe,bo3,16th of March 2020
340,https://www.hltv.org/download/demo/56325,340,Thunder Logic,11 - 16,Under 21,ESEA MDL Season 33 North America,nuke,16th of March 2020
341,https://www.hltv.org/download/demo/56324,341,Thunder Logic,16 - 13,New England Whalers,ESEA MDL Season 33 North America,nuke,16th of March 2020
342,https://www.hltv.org/download/demo/56323,342,District 7,7 - 16,Bad News Bears,ESEA MDL Season 33 North America,vtg,16th of March 2020
343,https://www.hltv.org/download/demo/56322,343,Under 21,12 - 16,TeamOne,ESEA MDL Season 33 North America,nuke,16th of March 2020
344,https://www.hltv.org/download/demo/56321,344,District 7,9 - 16,Rugratz,ESEA MDL Season 33 North America,mrg,16th of March 2020
345,https://www.hltv.org/download/demo/56320,345,Inf,16 - 14,Thunder Logic,ESEA MDL Season 33 North America,d2,16th of March 2020
346,https://www.hltv.orgNA,346,Chaos,0 - 1,Recon 5,ESEA MDL Season 33 North America,-,16th of March 2020
347,https://www.hltv.org/download/demo/56319,347,Chaos,16 - 1,In The Lab,ESEA MDL Season 33 North America,d2,16th of March 2020
348,https://www.hltv.org/download/demo/56318,348,Recon 5,16 - 5,Oceanus,ESEA MDL Season 33 North America,nuke,16th of March 2020
349,https://www.hltv.org/download/demo/56317,349,Rugratz,16 - 10,New England Whalers,ESEA MDL Season 33 North America,mrg,16th of March 2020
350,https://www.hltv.org/download/demo/56313,350,FunPlus Phoenix,1 - 2,Cloud9,Flashpoint 1,bo3,15th of March 2020
351,https://www.hltv.org/download/demo/56316,351,Bad News Bears,16 - 8,Station7,ESEA MDL Season 33 North America,Inf,16th of March 2020
352,https://www.hltv.org/download/demo/56315,352,Chaos,16 - 12,Monstars,ESEA MDL Season 33 North America,Inf,16th of March 2020
353,https://www.hltv.org/download/demo/56314,353,Thunder Logic,5 - 16,TeamOne,ESEA MDL Season 33 North America,mrg,16th of March 2020
354,https://www.hltv.org/download/demo/56312,354,Paquetá,0 - 2,Imperial,Aorus League 2020 #1 Brazil,bo3,15th of March 2020
355,https://www.hltv.org/download/demo/56311,355,Orgless,1 - 2,Dignitas,Flashpoint 1,bo3,15th of March 2020
356,https://www.hltv.org/download/demo/56310,356,Endpoint,1 - 2,Tricked,SECTOR: MOSTBET Season 2,bo3,15th of March 2020
357,https://www.hltv.org/download/demo/56309,357,EthereaL,0 - 2,S2V,META '20 Open,bo3,15th of March 2020
358,https://www.hltv.orgNA,358,Singularity,1 - 0,pro100,ESEA MDL Season 33 Europe,-,15th of March 2020
359,https://www.hltv.orgNA,359,Rooster,1 - 0,Chiefs,ESEA MDL Season 33 Australia,-,15th of March 2020
360,https://www.hltv.org/download/demo/56308,360,Airborne,1 - 2,i sleep,ESL Australia & NZ Championship Season 10 Qualifier 3,bo3,15th of March 2020
361,https://www.hltv.org/download/demo/56307,361,i sleep,2 - 0,Incept,ESL Australia & NZ Championship Season 10 Qualifier 3,bo3,15th of March 2020
362,https://www.hltv.org/download/demo/56305,362,Paquetá,2 - 1,FURIA Inagame,Aorus League 2020 #1 Brazil,bo3,15th of March 2020
363,https://www.hltv.org/download/demo/56304,363,Big Frames,13 - 16,Chaos,ESEA MDL Season 33 North America,ovp,15th of March 2020
364,https://www.hltv.org/download/demo/56303,364,Thunder Logic,16 - 14,In The Lab,ESEA MDL Season 33 North America,mrg,15th of March 2020
365,https://www.hltv.org/download/demo/56302,365,TeamOne,16 - 5,Big Frames,ESEA MDL Season 33 North America,nuke,15th of March 2020
366,https://www.hltv.org/download/demo/56301,366,Chaos,16 - 8,Oceanus,ESEA MDL Season 33 North America,d2,15th of March 2020
367,https://www.hltv.org/download/demo/56300,367,Thunder Logic,19 - 16,Swole Identity,ESEA MDL Season 33 North America,ovp,15th of March 2020
368,https://www.hltv.org/download/demo/56306,368,i sleep,0 - 2,Airborne,ESL Australia & NZ Championship Season 10 Qualifier 3,bo3,15th of March 2020
369,https://www.hltv.org/download/demo/56299,369,Swole Identity,9 - 16,Mythic,ESEA MDL Season 33 North America,d2,15th of March 2020
370,https://www.hltv.org/download/demo/56297,370,Chaos,2 - 0,MIBR,Flashpoint 1,bo3,14th of March 2020
371,https://www.hltv.org/download/demo/56298,371,Mythic,14 - 16,Station7,ESEA MDL Season 33 North America,d2,14th of March 2020
372,https://www.hltv.org/download/demo/56296,372,Imperial,2 - 0,Reapers,Aorus League 2020 #1 Brazil,bo3,14th of March 2020
373,https://www.hltv.org/download/demo/56295,373,EthereaL,2 - 0,FiRENATiON,HardCup 6,bo3,14th of March 2020
374,https://www.hltv.org/download/demo/56294,374,Gen.G,2 - 1,Envy,Flashpoint 1,bo3,14th of March 2020
375,https://www.hltv.org/download/demo/56293,375,Supremacy,2 - 0,Infamous,Movistar LPG Season 3,bo3,14th of March 2020
376,https://www.hltv.org/download/demo/56292,376,AVANT,3 - 0,ORDER,ESL Australia & NZ Championship Season 10,bo5,14th of March 2020
377,https://www.hltv.org/download/demo/56291,377,EGOBOYZ,1 - 2,Infamous,Movistar LPG Season 3,bo3,14th of March 2020
378,https://www.hltv.org/download/demo/56289,378,FURIA Inagame,2 - 1,No2B,Aorus League 2020 #1 Brazil,bo3,14th of March 2020
379,https://www.hltv.org/download/demo/56290,379,ORDER,2 - 1,Paradox,ESL Australia & NZ Championship Season 10,bo3,14th of March 2020
380,https://www.hltv.org/download/demo/56287,380,Bad News Bears,18 - 22,Under 21,ESEA MDL Season 33 North America,d2,14th of March 2020
381,https://www.hltv.orgNA,381,Airborne,1 - 0,ROCK CANDY,ESEA MDL Season 33 Australia,-,27th of February 2020
382,https://www.hltv.org/download/demo/56286,382,Triumph,16 - 8,Chaos,ESEA MDL Season 33 North America,nuke,14th of March 2020
383,https://www.hltv.org/download/demo/56285,383,Bad News Bears,16 - 10,Triumph,ESEA MDL Season 33 North America,Inf,14th of March 2020
384,https://www.hltv.org/download/demo/56284,384,Chaos,16 - 3,TeamOne,ESEA MDL Season 33 North America,Inf,14th of March 2020
385,https://www.hltv.org/download/demo/56288,385,Reapers,2 - 1,Neverest,Aorus League 2020 #1 Brazil,bo3,13th of March 2020
386,https://www.hltv.org/download/demo/56283,386,TeamOne,11 - 16,Rugratz,ESEA MDL Season 33 North America,ovp,14th of March 2020
387,https://www.hltv.org/download/demo/56282,387,Copenhagen Flames,0 - 2,c0ntact,Flashpoint 1,bo3,13th of March 2020
388,https://www.hltv.orgNA,388,Swole Patrol,0 - 1,New England Whalers,ESEA MDL Season 33 North America,-,14th of March 2020
389,https://www.hltv.org/download/demo/56281,389,MAD Lions,1 - 2,HAVU,Flashpoint 1,bo3,13th of March 2020
390,https://www.hltv.org/download/demo/56280,390,pro100,16 - 12,Sprout,ESEA MDL Season 33 Europe,trn,13th of March 2020
391,https://www.hltv.org/download/demo/56279,391,Spirit,16 - 9,Demolition Crew,ESEA MDL Season 33 Europe,nuke,13th of March 2020
392,https://www.hltv.org/download/demo/56278,392,Singularity,16 - 7,Unicorns of Love,ESEA MDL Season 33 Europe,nuke,13th of March 2020
393,https://www.hltv.org/download/demo/56277,393,Spirit,16 - 8,pro100,ESEA MDL Season 33 Europe,mrg,13th of March 2020
394,https://www.hltv.orgNA,394,pro100,1 - 0,Illuminar,ESEA MDL Season 33 Europe,-,13th of March 2020
395,https://www.hltv.orgNA,395,Illuminar,0 - 1,Sprout,ESEA MDL Season 33 Europe,-,13th of March 2020
396,https://www.hltv.org/download/demo/56276,396,TeamOne,16 - 5,In The Lab,ESEA MDL Season 33 North America,d2,13th of March 2020
397,https://www.hltv.org/download/demo/56275,397,Oceanus,10 - 16,Swole Patrol,ESEA MDL Season 33 North America,nuke,13th of March 2020
398,https://www.hltv.org/download/demo/56274,398,District 7,16 - 11,Mythic,ESEA MDL Season 33 North America,mrg,13th of March 2020
399,https://www.hltv.org/download/demo/56273,399,New England Whalers,16 - 12,TeamOne,ESEA MDL Season 33 North America,nuke,13th of March 2020
400,https://www.hltv.org/download/demo/56272,400,Divine,16 - 11,Big Frames,ESEA MDL Season 33 North America,ovp,13th of March 2020
401,https://www.hltv.org/download/demo/56268,401,Chaos,16 - 12,Thunder Logic,ESEA MDL Season 33 North America,nuke,13th of March 2020
402,https://www.hltv.org/download/demo/56269,402,District 7,22 - 20,Divine,ESEA MDL Season 33 North America,mrg,13th of March 2020
403,https://www.hltv.org/download/demo/56271,403,Swole Patrol,16 - 8,Under 21,ESEA MDL Season 33 North America,nuke,13th of March 2020
404,https://www.hltv.org/download/demo/56267,404,Swole Identity,25 - 22,Big Frames,ESEA MDL Season 33 North America,Inf,13th of March 2020
405,https://www.hltv.org/download/demo/56270,405,TeamOne,4 - 16,Mythic,ESEA MDL Season 33 North America,ovp,13th of March 2020
406,https://www.hltv.org/download/demo/56266,406,ex-UP,11 - 16,Neverest,Aorus League 2020 #1 Brazil,vtg,13th of March 2020
407,https://www.hltv.org/download/demo/56263,407,Thunder Logic,11 - 16,Rugratz,ESEA MDL Season 33 North America,mrg,13th of March 2020
408,https://www.hltv.org/download/demo/56262,408,Triumph,16 - 7,In The Lab,ESEA MDL Season 33 North America,Inf,13th of March 2020
409,https://www.hltv.org/download/demo/56260,409,Bad News Bears,16 - 4,Oceanus,ESEA MDL Season 33 North America,mrg,13th of March 2020
410,https://www.hltv.org/download/demo/56259,410,Under 21,22 - 19,Mythic,ESEA MDL Season 33 North America,mrg,13th of March 2020
411,https://www.hltv.org/download/demo/56261,411,Divine,13 - 16,Station7,ESEA MDL Season 33 North America,mrg,13th of March 2020
412,https://www.hltv.org/download/demo/56258,412,Chaos,16 - 10,New England Whalers,ESEA MDL Season 33 North America,nuke,13th of March 2020
413,https://www.hltv.org/download/demo/56257,413,District 7,12 - 16,Swole Patrol,ESEA MDL Season 33 North America,nuke,13th of March 2020
414,https://www.hltv.org/download/demo/56256,414,Swole Identity,9 - 16,Bad News Bears,ESEA MDL Season 33 North America,d2,13th of March 2020
415,https://www.hltv.org/download/demo/56255,415,Triumph,16 - 4,Monstars,ESEA MDL Season 33 North America,ovp,13th of March 2020
416,https://www.hltv.org/download/demo/56265,416,FURIA Inagame,10 - 16,Imperial,Aorus League 2020 #1 Brazil,trn,13th of March 2020
417,https://www.hltv.org/download/demo/56264,417,No2B,19 - 17,NOORG,Aorus League 2020 #1 Brazil,vtg,12th of March 2020
418,https://www.hltv.org/download/demo/56251,418,Reapers,12 - 16,Paquetá,Aorus League 2020 #1 Brazil,nuke,12th of March 2020
